frame,course_index,course_state,course_offset,activation_8_8,board_frame,extra_charlie_state,prize_state,active_signature
943,01,dc,5e,dc00,67,00,00,large[26d0 x=fd80]
1054,02,f4,5e,f400,d6,00,00,large[26d0 x=1f80] large[2700 x=fd80]
1070,02,f4,5e,d400,e6,00,00,large[2700 x=dd80]
1268,02,f4,5e,4a00,ac,01,00,large[2700 x=5380]
1378,03,9a,5e,9a00,1a,01,00,large[2700 x=08f0] small[2760 x=fd80]
1383,03,9a,5e,9000,1f,01,00,small[2760 x=f380]
1456,04,ec,5e,ec00,68,02,00,extra-charlie[26d0 x=fd80] small[2760 x=6180]
1467,04,ec,5e,d600,73,02,01,extra-charlie[26d0 x=e780] small[2760 x=4b80]
1505,04,ec,5e,8a00,99,02,01,extra-charlie[26d0 x=9b80]
1543,04,ec,5e,3e00,bf,02,01,extra-charlie[26d0 x=4f80] pot[24b0 x=0000]
1545,04,ec,5e,3a00,c1,03,01,extra-charlie[26d0 x=4b80] pot[24b0 x=0000]
1575,05,dc,5e,dc00,df,03,01,extra-charlie[26d0 x=0f80] large[2700 x=fd80] pot[24b0 x=0000]
1583,05,dc,5e,cc00,e7,03,01,large[2700 x=ed80] pot[24b0 x=0000]
1586,05,dc,5e,c600,ea,03,01,large[2700 x=e780] pot[24b0 x=0000] pot[24f0 x=0000]
1716,06,e4,5e,e400,6c,03,01,large[26d0 x=fd80] large[2700 x=20c0] pot[24b0 x=7a40] pot[24f0 x=0000]
1733,06,e4,5e,c200,7d,03,01,large[26d0 x=db80] pot[24b0 x=60c0] pot[24f0 x=0000]
1780,06,e4,5e,6400,ac,03,01,large[26d0 x=7d80] pot[24b0 x=1a40] pot[24f0 x=0000] pot[2530 x=0000]
1796,06,e4,5e,5c30,bc,03,01,large[26d0 x=75b0] pot[24b0 x=1a70] pot[24f0 x=0000]
1961,06,e4,5e,0900,61,03,01,large[26d0 x=2280] pot[24b0 x=19c0] pot[24f0 x=0000] pot[2530 x=0000]
1966,07,e6,5e,e600,66,03,01,large[26d0 x=1880] small[2760 x=fd80] pot[24b0 x=1240] pot[24f0 x=f880] pot[2530 x=0000]
1977,07,e6,5e,d000,71,03,01,large[26d0 x=0280] small[2760 x=e780] pot[24f0 x=e800] pot[2530 x=0000]
1979,07,e6,5e,cc00,73,03,01,small[2760 x=e380] pot[24f0 x=e500] pot[2530 x=0000]
2119,08,1b,5e,1b00,ff,03,01,large[26d0 x=fd80] small[2760 x=1680] pot[24f0 x=5e00] pot[2530 x=0000]
2131,08,1b,5e,0300,0b,03,01,large[26d0 x=e580] pot[24f0 x=4c00] pot[2530 x=0000]
2133,09,ee,5e,ee00,0d,03,01,large[26d0 x=e180] large[2700 x=fd80] pot[24f0 x=4900] pot[2530 x=0000]
2493,09,ee,5e,0be0,75,03,01,large[2700 x=1b60] pot[24f0 x=1ae0] pot[2530 x=0000]
2499,0a,f6,5e,f600,7b,03,01,large[26d0 x=fd80] large[2700 x=0f60] pot[24f0 x=11e0] pot[2530 x=0000]
2507,0a,f6,5e,e600,83,03,01,large[26d0 x=ed80] pot[24f0 x=05e0] pot[2530 x=0000]
2508,0a,f6,5e,e400,84,03,01,large[26d0 x=eb80] pot[24f0 x=0460] pot[2530 x=0000]
2510,0a,f6,5e,e000,86,03,01,large[26d0 x=e780] pot[2530 x=fd00]
2677,0b,ad,5e,ad00,2d,03,01,large[26d0 x=0690] small[2760 x=fd80] pot[2530 x=6f90]
2681,0b,ad,5e,a500,31,03,01,small[2760 x=f580] pot[2530 x=6990]
2913,0c,de,5e,de00,19,03,01,large[26d0 x=fd80] small[2760 x=4e80] pot[2530 x=3690]
2915,0c,de,5e,da00,1b,03,02,large[26d0 x=f980] small[2760 x=4a80] pot[2530 x=3390]
2949,0c,de,5e,9600,3d,03,02,large[26d0 x=b580] small[2760 x=0680]
2953,0c,de,5e,8e00,41,03,02,large[26d0 x=ad80]
3025,0d,ee,5e,ee00,89,03,02,large[26d0 x=1d80] large[2700 x=fd80]
3036,0d,ee,5e,d800,94,03,02,large[26d0 x=0780] large[2700 x=e780] pot[24b0 x=0000]
3040,0d,ee,5e,d000,98,03,02,large[2700 x=df80] pot[24b0 x=fa00]
