frame,mame_signature,native_signature,course_index,course_state,course_offset,activation_8_8,match
943,large[26d0 x=fd80],large[26d0 x=fd80],01,dc,5e,dc00,1
944,large[26d0 x=fb80],large[26d0 x=fb80],01,dc,5e,da00,1
945,large[26d0 x=f980],large[26d0 x=f980],01,dc,5e,d800,1
946,large[26d0 x=f780],large[26d0 x=f780],01,dc,5e,d600,1
947,large[26d0 x=f580],large[26d0 x=f580],01,dc,5e,d400,1
948,large[26d0 x=f380],large[26d0 x=f380],01,dc,5e,d200,1
949,large[26d0 x=f180],large[26d0 x=f180],01,dc,5e,d000,1
950,large[26d0 x=ef80],large[26d0 x=ef80],01,dc,5e,ce00,1
951,large[26d0 x=ed80],large[26d0 x=ed80],01,dc,5e,cc00,1
952,large[26d0 x=eb80],large[26d0 x=eb80],01,dc,5e,ca00,1
953,large[26d0 x=e980],large[26d0 x=e980],01,dc,5e,c800,1
954,large[26d0 x=e780],large[26d0 x=e780],01,dc,5e,c600,1
955,large[26d0 x=e580],large[26d0 x=e580],01,dc,5e,c400,1
956,large[26d0 x=e380],large[26d0 x=e380],01,dc,5e,c200,1
957,large[26d0 x=e180],large[26d0 x=e180],01,dc,5e,c000,1
958,large[26d0 x=df80],large[26d0 x=df80],01,dc,5e,be00,1
959,large[26d0 x=dd80],large[26d0 x=dd80],01,dc,5e,bc00,1
960,large[26d0 x=db80],large[26d0 x=db80],01,dc,5e,ba00,1
961,large[26d0 x=d980],large[26d0 x=d980],01,dc,5e,b800,1
962,large[26d0 x=d780],large[26d0 x=d780],01,dc,5e,b600,1
963,large[26d0 x=d580],large[26d0 x=d580],01,dc,5e,b400,1
964,large[26d0 x=d380],large[26d0 x=d380],01,dc,5e,b200,1
965,large[26d0 x=d180],large[26d0 x=d180],01,dc,5e,b000,1
966,large[26d0 x=cf80],large[26d0 x=cf80],01,dc,5e,ae00,1
967,large[26d0 x=cd80],large[26d0 x=cd80],01,dc,5e,ac00,1
968,large[26d0 x=cb80],large[26d0 x=cb80],01,dc,5e,aa00,1
969,large[26d0 x=c980],large[26d0 x=c980],01,dc,5e,a800,1
970,large[26d0 x=c780],large[26d0 x=c780],01,dc,5e,a600,1
971,large[26d0 x=c580],large[26d0 x=c580],01,dc,5e,a400,1
972,large[26d0 x=c380],large[26d0 x=c380],01,dc,5e,a200,1
973,large[26d0 x=c180],large[26d0 x=c180],01,dc,5e,a000,1
974,large[26d0 x=bf80],large[26d0 x=bf80],01,dc,5e,9e00,1
975,large[26d0 x=bd80],large[26d0 x=bd80],01,dc,5e,9c00,1
976,large[26d0 x=bb80],large[26d0 x=bb80],01,dc,5e,9a00,1
977,large[26d0 x=b980],large[26d0 x=b980],01,dc,5e,9800,1
978,large[26d0 x=b780],large[26d0 x=b780],01,dc,5e,9600,1
979,large[26d0 x=b580],large[26d0 x=b580],01,dc,5e,9400,1
980,large[26d0 x=b380],large[26d0 x=b380],01,dc,5e,9200,1
981,large[26d0 x=b180],large[26d0 x=b180],01,dc,5e,9000,1
982,large[26d0 x=af80],large[26d0 x=af80],01,dc,5e,8e00,1
983,large[26d0 x=ad80],large[26d0 x=ad80],01,dc,5e,8c00,1
984,large[26d0 x=ab80],large[26d0 x=ab80],01,dc,5e,8a00,1
985,large[26d0 x=a980],large[26d0 x=a980],01,dc,5e,8800,1
986,large[26d0 x=a780],large[26d0 x=a780],01,dc,5e,8600,1
987,large[26d0 x=a580],large[26d0 x=a580],01,dc,5e,8400,1
988,large[26d0 x=a380],large[26d0 x=a380],01,dc,5e,8200,1
989,large[26d0 x=a180],large[26d0 x=a180],01,dc,5e,8000,1
990,large[26d0 x=9f80],large[26d0 x=9f80],01,dc,5e,7e00,1
991,large[26d0 x=9d80],large[26d0 x=9d80],01,dc,5e,7c00,1
992,large[26d0 x=9b80],large[26d0 x=9b80],01,dc,5e,7a00,1
993,large[26d0 x=9980],large[26d0 x=9980],01,dc,5e,7800,1
994,large[26d0 x=9780],large[26d0 x=9780],01,dc,5e,7600,1
995,large[26d0 x=9580],large[26d0 x=9580],01,dc,5e,7400,1
996,large[26d0 x=9380],large[26d0 x=9380],01,dc,5e,7200,1
997,large[26d0 x=9180],large[26d0 x=9180],01,dc,5e,7000,1
998,large[26d0 x=8f80],large[26d0 x=8f80],01,dc,5e,6e00,1
999,large[26d0 x=8d80],large[26d0 x=8d80],01,dc,5e,6c00,1
1000,large[26d0 x=8b80],large[26d0 x=8b80],01,dc,5e,6a00,1
1001,large[26d0 x=8980],large[26d0 x=8980],01,dc,5e,6800,1
1002,large[26d0 x=8780],large[26d0 x=8780],01,dc,5e,6600,1
1003,large[26d0 x=8580],large[26d0 x=8580],01,dc,5e,6400,1
1004,large[26d0 x=8380],large[26d0 x=8380],01,dc,5e,6200,1
1005,large[26d0 x=8180],large[26d0 x=8180],01,dc,5e,6000,1
1006,large[26d0 x=7f80],large[26d0 x=7f80],01,dc,5e,5e00,1
1007,large[26d0 x=7d80],large[26d0 x=7d80],01,dc,5e,5c00,1
1008,large[26d0 x=7b80],large[26d0 x=7b80],01,dc,5e,5a00,1
