frame,24b0_st,24b0_x,24b0_b1b2,24b0_b8,24f0_st,24f0_x,24f0_b1b2,24f0_b8,2530_st,2530_x,2530_b1b2,2530_b8,2570_st,2570_x,2570_b1b2,2570_b8,2580_st,2580_x,2580_b1b2,2580_b8,25e0_st,25e0_x,25e0_b1b2,25e0_b8,26d0_st,26d0_x,26d0_b1b2,26d0_b8,2700_st,2700_x,2700_b1b2,2700_b8,2730_st,2730_x,2730_b1b2,2730_b8,2760_st,2760_x,2760_b1b2,2760_b8
1,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
2,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
3,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
4,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
5,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
6,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
7,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
8,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
9,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
10,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
11,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
12,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
13,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
14,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
15,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
16,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
17,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
18,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
19,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
20,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
21,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
22,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
23,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
24,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
25,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
26,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
27,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
28,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
29,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
30,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
31,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
32,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
33,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
34,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
35,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
36,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
37,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00,00,0000,0000,00
