frame,pc,system_input,player_input,player_state_2800,airborne_20b0,rider_x_2646,rider_y_2644,jump_anim_20b4,jump_acc_20b5,scroll_command_20b1,scroll_acc_2203,activation_acc_20c2,course_index_2208,course_state_20bc,state_20bd,state_20be,state_20bf,score_bcd_20a0,object_26d0_status,object_26d0_x88,object_26d0_y,object_26d0_timer,object_26d0_code,object_26d0_attr,frame_byte_14,lives_2200,extra_220a,coin_220b,missed_220c,bb_20bb,c1_20c1,c4_20c4,phase_05,phase_06,cb_20cb
1,ca10,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
2,ca0c,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
3,ca0d,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
4,ca0d,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
5,ca0f,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
6,ca0a,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
7,ca0d,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
8,ca0d,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
9,ca0e,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
10,ca10,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
11,ca0c,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
12,ca0d,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
13,ca0d,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
14,ca0f,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
15,ca0a,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
16,ca0d,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
17,ca0d,ff,ff,00,00,0,0,00,0000,0000,0000,0000,00,00,00,00,00,000000,00,0000,0,00,00,00,00,00,00,00,00,00,00,0000,00,00,00
