native_frame,mame_frame,mame_rider_y,native_rider_y,mame_hoop_x_8_8,native_hoop_x_8_8,mame_collision,native_collision,mame_landing,native_landing,mame_score_event,native_score_event,match,mame_rider_state,native_rider_state,native_hd_frame,native_anchor_x,native_anchor_y
0,1322,d0,d0,d280,d280,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
1,1323,d0,d0,d080,d080,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
2,1324,d0,d0,ce80,ce80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
3,1325,d0,d0,cc80,cc80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
4,1326,d0,d0,ca80,ca80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
5,1327,d0,d0,c880,c880,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
6,1328,d0,d0,c680,c680,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
7,1329,d0,d0,c480,c480,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
8,1330,d0,d0,c280,c280,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
9,1331,d0,d0,c080,c080,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
10,1332,d0,d0,be80,be80,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
11,1333,d0,d0,bc80,bc80,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
12,1334,d0,d0,ba80,ba80,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
13,1335,d0,d0,b880,b880,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
14,1336,d0,d0,b680,b680,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
15,1337,d0,d0,b480,b480,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
16,1338,d0,d0,b280,b280,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
17,1339,d0,d0,b080,b080,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
18,1340,d0,d0,ae80,ae80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
19,1341,d0,d0,ac80,ac80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
20,1342,d0,d0,aa80,aa80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
21,1343,d0,d0,a880,a880,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
22,1344,d0,d0,a680,a680,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
23,1345,d0,d0,a480,a480,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
24,1346,d0,d0,a280,a280,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
25,1347,d0,d0,a080,a080,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
26,1348,cc,cc,9e80,9e80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
27,1349,c9,c9,9c80,9c80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
28,1350,c6,c6,9a80,9a80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
29,1351,c3,c3,9880,9880,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
30,1352,c0,c0,9680,9680,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
31,1353,bd,bd,9480,9480,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
32,1354,ba,ba,9280,9280,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
