frame,input_left,input_right,input_jump,player_x,player_y,delta_x,run_speed,camera_x,grounded,jump_frame,scene,alive,crash_frame,nearest_hoop,hoop_world_x,hoop_screen_x,hoop_previous_screen_x,hoop_opening_top,hoop_opening_bottom,hoop_cleared,hoop_overlap,rider_source_x,rider_source_y,jump_pending,jump_accumulator,hoop_active,hoop_x_8_8,hoop_animation_state,activation_accumulator,course_index,course_state,scroll_command,scroll_accumulator,collision_result,score,score_event,landing_transition,pending_hoop_score,hoop_score_event,rider_animation_state,rider_hd_frame,rider_anchor_x,rider_anchor_y,rider_animation_position_sample,rider_animation_course_8_8,rider0_status,rider0_y,rider0_x,rider0_code,rider0_attr,rider1_status,rider1_y,rider1_x,rider1_code,rider1_attr,rider2_status,rider2_y,rider2_x,rider2_code,rider2_attr,rider3_status,rider3_y,rider3_x,rider3_code,rider3_attr,rider4_status,rider4_y,rider4_x,rider4_code,rider4_attr,rider5_status,rider5_y,rider5_x,rider5_code,rider5_attr
0,0,1,0,81.214287,590.000000,3.214287,194.805176,3.214287,1,-1,3,1,0,0,415.142853,411.928558,416.214264,367.000000,504.000000,0,0,37,208,0,0,1,53888,native_composite,44928,1,175,-384,3,safe_x,8,8,0,0,0,A,1,512.000000,640.000000,0,64768,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
1,0,1,0,84.428574,590.000000,3.214287,194.805176,6.428574,1,-1,3,1,0,0,414.071411,407.642822,411.928558,367.000000,504.000000,0,0,37,208,0,0,1,53376,native_composite,44416,1,173,-384,6,safe_x,8,0,0,0,0,A,1,512.000000,640.000000,0,64384,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
2,0,1,0,87.642860,590.000000,3.214287,194.805176,9.642860,1,-1,3,1,0,0,413.000000,403.357147,407.642822,367.000000,504.000000,0,0,37,208,0,0,1,52864,native_composite,43904,1,171,-384,10,safe_x,8,0,0,0,0,A,1,512.000000,640.000000,0,64000,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
3,0,1,0,90.857147,590.000000,3.214287,194.805176,12.857147,1,-1,3,1,0,0,411.928558,399.071411,403.357147,367.000000,504.000000,0,0,37,208,0,0,1,52352,native_composite,43392,1,169,-384,13,safe_x,9,1,0,0,0,A,1,512.000000,640.000000,0,63616,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
4,0,1,0,94.071434,590.000000,3.214287,194.805176,16.071434,1,-1,3,1,0,0,410.857147,394.785706,399.071411,367.000000,504.000000,0,0,37,208,0,0,1,51840,native_composite,42880,1,167,-384,16,safe_x,9,0,0,0,0,A,1,512.000000,640.000000,0,63232,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
5,0,1,0,97.285721,590.000000,3.214287,194.805176,19.285721,1,-1,3,1,0,0,409.785706,390.500000,394.785706,367.000000,504.000000,0,0,37,208,0,0,1,51328,native_composite,42368,1,165,-384,19,safe_x,9,0,0,0,0,A,1,512.000000,640.000000,0,62848,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
6,0,1,0,100.500008,590.000000,3.214287,194.805176,22.500008,1,-1,3,1,0,0,408.714294,386.214294,390.500000,367.000000,504.000000,0,0,37,208,0,0,1,50816,native_composite,41856,1,163,-384,23,safe_x,10,1,0,0,0,B,2,512.000000,640.000000,245,62464,0,224,69,205,0,0,224,53,204,0,0,224,37,182,0,0,208,69,181,0,0,208,53,100,0,0,208,37,99,0
7,0,1,0,103.714294,590.000000,3.214287,194.805176,25.714294,1,-1,3,1,0,0,407.642853,381.928558,386.214294,367.000000,504.000000,0,0,37,208,0,0,1,50304,native_composite,41344,1,161,-384,26,safe_x,10,0,0,0,0,B,2,512.000000,640.000000,245,62080,0,224,69,205,0,0,224,53,204,0,0,224,37,182,0,0,208,69,181,0,0,208,53,100,0,0,208,37,99,0
8,0,1,0,106.928581,590.000000,3.214287,194.805176,28.928581,1,-1,3,1,0,0,406.571442,377.642853,381.928558,367.000000,504.000000,0,0,37,208,0,0,1,49792,native_composite,40832,1,159,-384,29,safe_x,10,0,0,0,0,B,2,512.000000,640.000000,245,61696,0,224,69,205,0,0,224,53,204,0,0,224,37,182,0,0,208,69,181,0,0,208,53,100,0,0,208,37,99,0
9,0,1,0,110.142868,590.000000,3.214287,194.805176,32.142868,1,-1,3,1,0,0,405.500000,373.357117,377.642853,367.000000,504.000000,0,0,37,208,0,0,1,49280,native_composite,40320,1,157,-384,32,safe_x,11,1,0,0,0,B,2,512.000000,640.000000,245,61312,0,224,69,205,0,0,224,53,204,0,0,224,37,182,0,0,208,69,181,0,0,208,53,100,0,0,208,37,99,0
10,0,1,0,113.357155,590.000000,3.214287,194.805176,35.357155,1,-1,3,1,0,0,404.428558,369.071411,373.357117,367.000000,504.000000,0,0,37,208,0,0,1,48768,native_composite,39808,1,155,-384,35,safe_x,11,0,0,0,0,B,2,512.000000,640.000000,245,60928,0,224,69,205,0,0,224,53,204,0,0,224,37,182,0,0,208,69,181,0,0,208,53,100,0,0,208,37,99,0
11,0,1,0,116.571442,590.000000,3.214287,194.805176,38.571442,1,-1,3,1,0,0,403.357147,364.785706,369.071411,367.000000,504.000000,0,0,37,208,0,0,1,48256,native_composite,39296,1,153,-384,39,safe_x,11,0,0,0,0,B,2,512.000000,640.000000,245,60544,0,224,69,205,0,0,224,53,204,0,0,224,37,182,0,0,208,69,181,0,0,208,53,100,0,0,208,37,99,0
12,0,1,0,119.785728,590.000000,3.214287,194.805176,41.785728,1,-1,3,1,0,0,402.285736,360.500000,364.785706,367.000000,504.000000,0,0,37,208,0,0,1,47744,native_composite,38784,1,151,-384,42,safe_x,11,0,0,0,0,B,2,512.000000,640.000000,245,60160,0,224,69,205,0,0,224,53,204,0,0,224,37,182,0,0,208,69,181,0,0,208,53,100,0,0,208,37,99,0
13,0,1,0,123.000015,590.000000,3.214287,194.805176,45.000015,1,-1,3,1,0,0,401.214294,356.214294,360.500000,367.000000,504.000000,0,0,37,208,0,0,1,47232,native_composite,38272,1,149,-384,45,safe_x,12,1,0,0,0,B,2,512.000000,640.000000,245,59776,0,224,69,205,0,0,224,53,204,0,0,224,37,182,0,0,208,69,181,0,0,208,53,100,0,0,208,37,99,0
14,0,1,0,126.214302,590.000000,3.214287,194.805176,48.214302,1,-1,3,1,0,0,400.142853,351.928558,356.214294,367.000000,504.000000,0,0,37,208,0,0,1,46720,native_composite,37760,1,147,-384,48,safe_x,12,0,0,0,0,C,3,512.000000,640.000000,234,59392,0,224,69,92,0,0,224,53,91,0,0,224,37,90,0,0,208,69,89,0,0,208,53,88,0,0,208,37,87,0
15,0,1,0,129.428589,590.000000,3.214287,194.805176,51.428589,1,-1,3,1,0,0,399.071442,347.642853,351.928558,367.000000,504.000000,0,0,37,208,0,0,1,46208,native_composite,37248,1,145,-384,51,safe_x,12,0,0,0,0,C,3,512.000000,640.000000,234,59008,0,224,69,92,0,0,224,53,91,0,0,224,37,90,0,0,208,69,89,0,0,208,53,88,0,0,208,37,87,0
16,0,1,0,132.642868,590.000000,3.214279,194.805176,54.642868,1,-1,3,1,0,0,398.000000,343.357117,347.642853,367.000000,504.000000,0,0,37,208,0,0,1,45696,native_composite,36736,1,143,-384,55,safe_x,13,1,0,0,0,C,3,512.000000,640.000000,234,58624,0,224,69,92,0,0,224,53,91,0,0,224,37,90,0,0,208,69,89,0,0,208,53,88,0,0,208,37,87,0
17,0,1,0,135.857147,590.000000,3.214279,194.805176,57.857147,1,-1,3,1,0,0,396.928558,339.071411,343.357117,367.000000,504.000000,0,0,37,208,0,0,1,45184,native_composite,36224,1,141,-384,58,safe_x,13,0,0,0,0,C,3,512.000000,640.000000,234,58240,0,224,69,92,0,0,224,53,91,0,0,224,37,90,0,0,208,69,89,0,0,208,53,88,0,0,208,37,87,0
18,0,1,0,139.071426,590.000000,3.214279,194.805176,61.071426,1,-1,3,1,0,0,395.857147,334.785706,339.071411,367.000000,504.000000,0,0,37,208,0,0,1,44672,native_composite,35712,1,139,-384,61,safe_x,13,0,0,0,0,C,3,512.000000,640.000000,234,57856,0,224,69,92,0,0,224,53,91,0,0,224,37,90,0,0,208,69,89,0,0,208,53,88,0,0,208,37,87,0
19,0,1,0,142.285706,590.000000,3.214279,194.805176,64.285706,1,-1,3,1,0,0,394.785706,330.500000,334.785706,367.000000,504.000000,0,0,37,208,0,0,1,44160,native_composite,35200,1,137,-384,64,safe_x,14,1,0,0,0,C,3,512.000000,640.000000,234,57472,0,224,69,92,0,0,224,53,91,0,0,224,37,90,0,0,208,69,89,0,0,208,53,88,0,0,208,37,87,0
20,0,1,0,145.499985,590.000000,3.214279,194.805176,67.499985,1,-1,3,1,0,0,393.714264,326.214294,330.500000,367.000000,504.000000,0,0,37,208,0,0,1,43648,native_composite,34688,1,135,-384,67,safe_x,14,0,0,0,0,C,3,512.000000,640.000000,234,57088,0,224,69,92,0,0,224,53,91,0,0,224,37,90,0,0,208,69,89,0,0,208,53,88,0,0,208,37,87,0
21,0,1,0,148.714264,590.000000,3.214279,194.805176,70.714264,1,-1,3,1,0,0,392.642822,321.928558,326.214294,367.000000,504.000000,0,0,37,208,0,0,1,43136,native_composite,34176,1,133,-384,71,safe_x,14,0,0,0,0,A,1,512.000000,640.000000,223,56704,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
22,0,1,0,151.928543,590.000000,3.214279,194.805176,73.928543,1,-1,3,1,0,0,391.571381,317.642822,321.928558,367.000000,504.000000,0,0,37,208,0,0,1,42624,native_composite,33664,1,131,-384,74,safe_x,15,1,0,0,0,A,1,512.000000,640.000000,223,56320,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
23,0,1,0,155.142822,590.000000,3.214279,194.805176,77.142822,1,-1,3,1,0,0,390.499969,313.357147,317.642822,367.000000,504.000000,0,0,37,208,0,0,1,42112,native_composite,33152,1,129,-384,77,safe_x,15,0,0,0,0,A,1,512.000000,640.000000,223,55936,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
24,0,1,1,158.357101,590.000000,3.214279,194.805176,80.357101,1,-1,3,1,0,0,389.428528,309.071411,313.357147,367.000000,504.000000,0,0,37,208,1,0,1,41600,native_composite,32640,1,127,-384,80,safe_x,15,0,0,0,0,A,1,512.000000,640.000000,223,55552,0,224,69,98,0,0,224,53,97,0,0,224,37,96,0,0,208,69,95,0,0,208,53,94,0,0,208,37,93,0
25,0,1,0,161.571381,590.000000,3.214279,194.805176,83.571381,0,0,3,1,0,0,388.357086,304.785706,309.071411,367.000000,504.000000,0,0,37,208,0,0,1,41088,native_composite,32128,1,125,-384,84,safe_x,16,1,0,0,0,C,3,512.000000,640.000000,223,55168,0,224,69,92,0,0,224,53,91,0,0,224,37,90,0,0,208,69,89,0,0,208,53,88,0,0,208,37,87,0
26,0,1,0,164.785660,580.000000,3.214279,194.805176,86.785660,0,1,3,1,0,0,387.285645,300.500000,304.785706,367.000000,504.000000,0,0,37,204,0,1,1,40576,native_composite,31616,1,123,-384,87,safe_x,16,0,0,0,0,C,3,512.000000,640.000000,223,54784,0,220,69,92,0,0,220,53,91,0,0,220,37,90,0,0,204,69,89,0,0,204,53,88,0,0,204,37,87,0
27,0,1,0,167.999939,572.500000,3.214279,194.805176,89.999939,0,2,3,1,0,0,386.214233,296.214294,300.500000,367.000000,504.000000,0,0,37,201,0,2,1,40064,native_composite,31104,1,121,-384,90,safe_x,16,0,0,0,0,C,3,512.000000,640.000000,223,54400,0,217,69,92,0,0,217,53,91,0,0,217,37,90,0,0,201,69,89,0,0,201,53,88,0,0,201,37,87,0
28,0,1,0,171.214218,565.000000,3.214279,194.805176,93.214218,0,3,3,1,0,0,385.142792,291.928589,296.214294,367.000000,504.000000,0,0,37,198,0,3,1,39552,native_composite,30592,1,119,-384,93,safe_x,17,1,0,0,0,C,3,512.000000,640.000000,223,54016,0,214,69,92,0,0,214,53,91,0,0,214,37,90,0,0,198,69,89,0,0,198,53,88,0,0,198,37,87,0
29,0,1,0,174.428497,557.500000,3.214279,194.805176,96.428497,0,4,3,1,0,0,384.071350,287.642853,291.928589,367.000000,504.000000,0,0,37,195,0,4,1,39040,native_composite,30080,1,117,-384,96,safe_x,17,0,0,0,0,C,3,512.000000,640.000000,223,53632,0,211,69,92,0,0,211,53,91,0,0,211,37,90,0,0,195,69,89,0,0,195,53,88,0,0,195,37,87,0
30,0,1,0,177.642776,550.000000,3.214279,194.805176,99.642776,0,5,3,1,0,0,382.999908,283.357117,287.642853,367.000000,504.000000,0,0,37,192,0,5,1,38528,native_composite,29568,1,115,-384,100,safe_x,17,0,0,0,0,C,3,512.000000,640.000000,223,53248,0,208,69,92,0,0,208,53,91,0,0,208,37,90,0,0,192,69,89,0,0,192,53,88,0,0,192,37,87,0
31,0,1,0,180.857056,542.500000,3.214279,194.805176,102.857056,0,6,3,1,0,0,381.928467,279.071411,283.357117,367.000000,504.000000,0,0,37,189,0,6,1,38016,native_composite,29056,1,113,-384,103,safe_x,18,1,0,0,0,C,3,512.000000,640.000000,223,52864,0,205,69,92,0,0,205,53,91,0,0,205,37,90,0,0,189,69,89,0,0,189,53,88,0,0,189,37,87,0
32,0,1,0,184.071335,535.000000,3.214279,194.805176,106.071335,0,7,3,1,0,0,380.857056,274.785706,279.071411,367.000000,504.000000,0,0,37,186,0,7,1,37504,native_composite,28544,1,111,-384,106,safe_x,18,0,0,0,0,C,3,512.000000,640.000000,223,52480,0,202,69,92,0,0,202,53,91,0,0,202,37,90,0,0,186,69,89,0,0,186,53,88,0,0,186,37,87,0
33,0,1,0,187.285614,527.500000,3.214279,194.805176,109.285614,0,8,3,1,0,0,379.785614,270.500000,274.785706,367.000000,504.000000,0,0,37,183,0,8,1,36992,native_composite,28032,1,109,-384,109,safe_x,18,0,0,0,0,C,3,512.000000,640.000000,223,52096,0,199,69,92,0,0,199,53,91,0,0,199,37,90,0,0,183,69,89,0,0,183,53,88,0,0,183,37,87,0
34,0,1,0,190.499893,522.500000,3.214279,194.805176,112.499893,0,9,3,1,0,0,378.714172,266.214294,270.500000,367.000000,504.000000,0,0,37,181,0,9,1,36480,native_composite,27520,1,107,-384,112,safe_x,19,1,0,0,0,C,3,512.000000,640.000000,223,51712,0,197,69,92,0,0,197,53,91,0,0,197,37,90,0,0,181,69,89,0,0,181,53,88,0,0,181,37,87,0
35,0,1,0,193.714172,517.500000,3.214279,194.805176,115.714172,0,10,3,1,0,0,377.642731,261.928558,266.214294,367.000000,504.000000,0,0,37,179,0,10,1,35968,native_composite,27008,1,105,-384,116,safe_x,19,0,0,0,0,C,3,512.000000,640.000000,223,51328,0,195,69,92,0,0,195,53,91,0,0,195,37,90,0,0,179,69,89,0,0,179,53,88,0,0,179,37,87,0
36,0,1,0,196.928452,510.000000,3.214279,194.805176,118.928452,0,11,3,1,0,0,376.571289,257.642822,261.928558,367.000000,504.000000,0,0,37,176,0,11,1,35456,native_composite,26496,1,103,-384,119,safe_x,19,0,0,0,0,C,3,512.000000,640.000000,223,50944,0,192,69,92,0,0,192,53,91,0,0,192,37,90,0,0,176,69,89,0,0,176,53,88,0,0,176,37,87,0
37,0,1,0,200.142731,505.000000,3.214279,194.805176,122.142731,0,12,3,1,0,0,375.499878,253.357147,257.642822,367.000000,504.000000,0,0,37,174,0,12,1,34944,native_composite,25984,1,101,-384,122,safe_x,20,1,0,0,0,C,3,512.000000,640.000000,223,50560,0,190,69,92,0,0,190,53,91,0,0,190,37,90,0,0,174,69,89,0,0,174,53,88,0,0,174,37,87,0
38,0,1,0,203.357010,500.000000,3.214279,194.805176,125.357010,0,13,3,1,0,0,374.428436,249.071426,253.357147,367.000000,504.000000,0,0,37,172,0,13,1,34432,native_composite,25472,1,99,-384,125,safe_x,20,0,0,0,0,C,3,512.000000,640.000000,223,50176,0,188,69,92,0,0,188,53,91,0,0,188,37,90,0,0,172,69,89,0,0,172,53,88,0,0,172,37,87,0
39,0,1,0,206.571289,495.000000,3.214279,194.805176,128.571289,0,14,3,1,0,0,373.356995,244.785706,249.071426,367.000000,504.000000,0,0,37,170,0,14,1,33920,native_composite,24960,1,97,-384,129,safe_x,20,0,0,0,0,C,3,512.000000,640.000000,223,49792,0,186,69,92,0,0,186,53,91,0,0,186,37,90,0,0,170,69,89,0,0,170,53,88,0,0,170,37,87,0
40,0,1,0,209.785568,490.000000,3.214279,194.805176,131.785568,0,15,3,1,0,0,372.285553,240.499985,244.785706,367.000000,504.000000,0,0,37,168,0,15,1,33408,native_composite,24448,1,95,-384,132,safe_x,20,0,0,0,0,C,3,512.000000,640.000000,223,49408,0,184,69,92,0,0,184,53,91,0,0,184,37,90,0,0,168,69,89,0,0,168,53,88,0,0,168,37,87,0
41,0,1,0,212.999847,485.000000,3.214279,194.805176,134.999847,0,16,3,1,0,0,371.214142,236.214294,240.499985,367.000000,504.000000,0,0,37,166,0,16,1,32896,native_composite,23936,1,93,-384,135,safe_x,21,1,0,0,0,C,3,512.000000,640.000000,223,49024,0,182,69,92,0,0,182,53,91,0,0,182,37,90,0,0,166,69,89,0,0,166,53,88,0,0,166,37,87,0
42,0,1,0,216.214127,482.500000,3.214279,194.805176,138.214127,0,17,3,1,0,0,370.142700,231.928574,236.214294,367.000000,504.000000,0,0,37,165,0,17,1,32384,native_composite,23424,1,91,-384,138,safe_x,21,0,0,0,0,C,3,512.000000,640.000000,223,48640,0,181,69,92,0,0,181,53,91,0,0,181,37,90,0,0,165,69,89,0,0,165,53,88,0,0,165,37,87,0
43,0,1,0,219.428406,477.500000,3.214279,194.805176,141.428406,0,18,3,1,0,0,369.071259,227.642853,231.928574,367.000000,504.000000,0,0,37,163,0,18,1,31872,native_composite,22912,1,89,-384,141,safe_x,21,0,0,0,0,C,3,512.000000,640.000000,223,48256,0,179,69,92,0,0,179,53,91,0,0,179,37,90,0,0,163,69,89,0,0,163,53,88,0,0,163,37,87,0
44,0,1,0,222.642685,475.000000,3.214279,194.805176,144.642685,0,19,3,1,0,0,367.999817,223.357132,227.642853,367.000000,504.000000,0,0,37,162,0,19,1,31360,native_composite,22400,1,87,-384,145,safe_x,22,1,0,0,0,C,3,512.000000,640.000000,223,47872,0,178,69,92,0,0,178,53,91,0,0,178,37,90,0,0,162,69,89,0,0,162,53,88,0,0,162,37,87,0
45,0,1,0,225.856964,470.000000,3.214279,194.805176,147.856964,0,20,3,1,0,0,366.928375,219.071411,223.357132,367.000000,504.000000,0,0,37,160,0,20,1,30848,native_composite,21888,1,85,-384,148,safe_x,22,0,0,0,0,C,3,512.000000,640.000000,223,47488,0,176,69,92,0,0,176,53,91,0,0,176,37,90,0,0,160,69,89,0,0,160,53,88,0,0,160,37,87,0
46,0,1,0,229.071243,467.500000,3.214279,194.805176,151.071243,0,21,3,1,0,0,365.856964,214.785721,219.071411,367.000000,504.000000,0,0,37,159,0,21,1,30336,native_composite,21376,1,83,-384,151,safe_x,22,0,0,0,0,C,3,512.000000,640.000000,223,47104,0,175,69,92,0,0,175,53,91,0,0,175,37,90,0,0,159,69,89,0,0,159,53,88,0,0,159,37,87,0
47,0,1,0,232.285522,465.000000,3.214279,194.805176,154.285522,0,22,3,1,0,0,364.785522,210.500000,214.785721,367.000000,504.000000,0,0,37,158,0,22,1,29824,native_composite,20864,1,81,-384,154,safe_x,23,1,0,0,0,C,3,512.000000,640.000000,223,46720,0,174,69,92,0,0,174,53,91,0,0,174,37,90,0,0,158,69,89,0,0,158,53,88,0,0,158,37,87,0
48,0,1,0,235.499802,462.500000,3.214279,194.805176,157.499802,0,23,3,1,0,0,363.714081,206.214279,210.500000,367.000000,504.000000,0,0,37,157,0,23,1,29312,native_composite,20352,1,79,-384,157,safe_x,23,0,0,0,0,C,3,512.000000,640.000000,223,46336,0,173,69,92,0,0,173,53,91,0,0,173,37,90,0,0,157,69,89,0,0,157,53,88,0,0,157,37,87,0
49,0,1,0,238.714081,460.000000,3.214279,194.805176,160.714081,0,24,3,1,0,0,362.642639,201.928558,206.214279,367.000000,504.000000,0,0,37,156,0,24,1,28800,native_composite,19840,1,77,-384,161,safe_x,23,0,0,0,0,C,3,512.000000,640.000000,223,45952,0,172,69,92,0,0,172,53,91,0,0,172,37,90,0,0,156,69,89,0,0,156,53,88,0,0,156,37,87,0
50,0,1,0,241.928360,460.000000,3.214279,194.805176,163.928360,0,25,3,1,0,0,361.571198,197.642838,201.928558,367.000000,504.000000,0,0,37,156,0,25,1,28288,native_composite,19328,1,75,-384,164,safe_x,24,1,0,0,0,C,3,512.000000,640.000000,223,45568,0,172,69,92,0,0,172,53,91,0,0,172,37,90,0,0,156,69,89,0,0,156,53,88,0,0,156,37,87,0
51,0,1,0,245.142639,457.500000,3.214279,194.805176,167.142639,0,26,3,1,0,0,360.499786,193.357147,197.642838,367.000000,504.000000,0,0,37,155,0,26,1,27776,native_composite,18816,1,73,-384,167,safe_x,24,0,0,0,0,C,3,512.000000,640.000000,223,45184,0,171,69,92,0,0,171,53,91,0,0,171,37,90,0,0,155,69,89,0,0,155,53,88,0,0,155,37,87,0
52,0,1,0,248.356918,455.000000,3.214279,194.805176,170.356918,0,27,3,1,0,0,359.428345,189.071426,193.357147,367.000000,504.000000,0,0,37,154,0,27,1,27264,native_composite,18304,1,71,-384,170,safe_x,24,0,0,0,0,C,3,512.000000,640.000000,223,44800,0,170,69,92,0,0,170,53,91,0,0,170,37,90,0,0,154,69,89,0,0,154,53,88,0,0,154,37,87,0
